Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,Tm,C_value,CV_C_value
Lindsaea,Lindsaeaceae,Monilophyta,0.13479131160761837,0.24340378537688667,0.6870063794654686,-0.5818451574895072,-0.528288095667373,-0.6037052395104684,0.3703754073571108,-0.015416248196516246,0.4917927089150691,-0.073394830170893,0.1715694968260092,-0.2319833982972788,0.05358756427949603
Linum,Linaceae,Malpighiales,-0.18384476950921877,-0.36836060575731233,-0.651308275564544,-0.2206313776859867,-0.528288095667373,-0.6506825458724149,0.3703754073571108,0.4782683314392896,0.4917927089150691,2.6524444414598407,0.1715694968260092,-0.42168029347173924,0.08190711576626665
Liparis,Orchidaceae,Asparagales,-0.18384476950921877,-0.36836060575731233,0.6870063794654686,-0.5818451574895072,-0.528288095667373,1.9800465893507573,0.3703754073571108,-1.2496276972860312,0.4917927089150691,1.9388739515041513,-1.0963390480594593,0.8266247433130061,1.8646695583889008
Lipocarpha,Cyperaceae,Poales,-0.18384476950921877,-0.36836060575731233,-2.048275877980898,-0.5818451574895072,-0.5129790546692574,-0.6506825458724149,0.3703754073571108,-1.187529009762429,-2.42864967379914,0.5545472009901136,-2.469997488778024,-0.4007261395476465,2.6103902301901027
Lipochaeta,Asteraceae,Asterales,-0.08322284918336587,0.5492859809439861,0.5502422665931501,-0.5818451574895072,-0.45803472439148674,-0.6037052395104684,-1.5862969696647162,-0.3447177847187448,0.41181751863475785,-0.073394830170893,0.1715694968260092,0.02585991578918117,0.47092188437833943
Listera,Orchidaceae,Asparagales,-0.11381486156514967,0.06861395671669665,0.6870063794654686,-0.5818451574895072,-0.528288095667373,1.941359397114203,-0.04453567217020329,0.05718442353692142,0.4917927089150691,0.9256038557670724,-1.0963390480594593,0.5232280355734711,1.8646695583889008
Lithodora,Boraginaceae,Boraginales,-0.18384476950921877,-0.36836060575731233,0.6870063794654686,1.9138136866043858,-0.46752681594903683,-0.21222768912497653,0.3703754073571108,0.1416652098579393,0.4917927089150691,1.225303461548462,-0.06895255020627862,-0.3689555502232661,0.18741997702288155
Lithophragma,Saxifragaceae,Saxifragales,-0.18384476950921877,-0.36836060575731233,0.6870063794654686,-0.5818451574895072,-0.528288095667373,-0.6037052395104684,0.3703754073571108,-0.6325219727412736,0.4917927089150691,-0.073394830170893,0.1715694968260092,-0.3518168925798476,-1.7860462469860359
Lithospermum,Boraginaceae,Boraginales,-0.18384476950921877,-0.36836060575731233,-0.07279424821080718,-0.5818451574895072,-0.46752681594903683,-0.6506825458724149,0.3703754073571108,1.2187952008929985,0.4917927089150691,-0.2874659771575997,-0.06895255020627862,-0.3689555502232661,0.18741997702288155
Lobelia,Campanulaceae,Asterales,-0.1760731577435753,-0.21914977805456684,0.12386003218325879,0.20946130594153808,-0.528288095667373,1.9800465893507573,0.3703754073571108,1.2187952008929985,0.4917927089150691,-0.08290910384601548,0.5966853606693032,0.22598895612016393,-0.6029251847831698
Lobularia,Brassicaceae,Brassicales,-0.18384476950921877,-0.36836060575731233,-0.6806347492577147,-0.5818451574895072,-0.3666949197178435,-0.6506825458724149,0.3703754073571108,1.2187952008929985,0.4917927089150691,0.6972612989812516,-0.8042340359495638,-0.473544987658015,-1.6300177312680522
Loeflingia,Caryophyllaceae,Caryophyllales,-0.18384476950921877,-0.36836060575731233,-2.048275877980898,-0.5818451574895072,-0.467747775985715,-0.6506825458724149,0.3703754073571108,0.5915729906792603,0.4388861440954767,0.6972612989812516,-0.10910744148328091,-0.3096785018648376,0.07782450775102691
Loeseliastrum,Polemoniaceae,Ericales,-0.18384476950921877,-0.36836060575731233,-2.048275877980898,-0.5818451574895072,-0.528288095667373,-0.6037052395104684,0.3703754073571108,0.39598756652104017,0.4917927089150691,1.225303461548462,-1.1718288824685985,-0.3101356772081052,-0.8269297826910519
Logania,Loganiaceae,Gentianales,-0.18384476950921877,-0.36836060575731233,0.6870063794654686,1.081927406071641,-0.528288095667373,-0.6506825458724149,0.3703754073571108,-0.015416248196516246,0.4917927089150691,-0.6442512221354444,0.1715694968260092,-0.4905963939658316,0.05358756427949603
Logfia,Asteraceae,Asterales,0.4534273927244555,1.161050372078185,-2.048275877980898,-0.5818451574895072,-0.45803472439148674,-0.6037052395104684,-1.5862969696647162,-0.3447177847187448,0.41181751863475785,-0.073394830170893,0.1715694968260092,0.02585991578918117,0.47092188437833943
