Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,Tm,C_value,CV_C_value
Begonia,Begoniaceae,Cucurbitales,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.75,1.0,2.24,0.04,0.5655,48.23633615
Bellevalia,Asparagaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.02173913,1.0,0.517857143,1.0,2.09,0.735,15.51923077,70.31024987
Bellis,Asteraceae,Asterales,0.0,0.0,0.857142857,0.0,0.00210989,0.017857143,1.0,0.5,1.0,2.09,0.6471375,1.706666667,16.91455867
Bellium,Asteraceae,Asterales,0.0,0.0,0.5,0.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Berberis,Berberidaceae,Ranunculales,0.362318841,0.041666667,1.0,1.0,0.0,0.017857143,1.0,0.833333333,1.0,1.941176471,0.6471375,1.401578947,45.51012976
Bergia,Elatinaceae,Malpighiales,0.0,0.0,0.0,0.0,0.0,0.017857143,1.0,0.5,1.0,2.09,0.6471375,2.25,60.63309118
Berlandiera,Asteraceae,Asterales,0.0,0.0,1.0,0.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Berteroa,Brassicaceae,Brassicales,0.0,0.0,0.3,0.0,0.00485306,0.0,1.0,1.0,1.0,2.63,0.456936364,0.71,83.97051654
Bertya,Euphorbiaceae,Malpighiales,0.0,0.0,1.0,1.0,0.01239531,0.03030303,0.965517241,0.806451613,0.871571072,2.16,0.711666667,3.417045455,128.5075669
Besseya,Plantaginaceae,Lamiales,0.0,0.0,1.0,0.0,0.005925926,0.818181818,1.0,0.715189873,0.794117647,1.43,0.593923077,1.030808511,68.5695549
Beta,Amaranthaceae,Caryophyllales,0.0,0.0,0.5,0.0,0.041463415,0.0,1.0,1.0,0.5,2.24,0.199,1.022857143,0.0
Betula,Betulaceae,Fagales,2.645502646,0.357142857,1.0,1.0,0.054545455,0.017857143,1.0,0.8,0.0,2.846153846,0.995,0.648333333,39.94133988
Beyeria,Euphorbiaceae,Malpighiales,0.0,0.0,1.0,1.0,0.01239531,0.03030303,0.965517241,0.806451613,0.871571072,2.16,0.711666667,3.417045455,128.5075669
Biarum,Araceae,Alismatales,0.0,0.0,1.0,0.0,0.000248447,0.076923077,1.0,0.181818182,1.0,1.99,0.6471375,3.32,2.347659227
Bidens,Asteraceae,Asterales,0.324569945,0.126582278,0.327868852,0.012658228,0.00210989,0.0,1.0,1.0,1.0,2.555555556,0.59125,2.183333333,41.22731085
Bifora,Apiaceae,Apiales,0.0,0.0,0.0,0.0,0.003968254,0.0,1.0,1.0,1.0,2.6,0.937666667,2.627731959,48.45406178
Bilderdykia,Polygonaceae,Caryophyllales,0.0,0.0,0.333333333,0.333333333,0.002727273,0.0,1.0,0.803921569,0.779761905,2.64,0.8,2.17925,59.83677065
Billardiera,Pittosporaceae,Apiales,0.0,0.0,1.0,0.5,0.005,0.0,1.0,1.0,1.0,2.22,0.6471375,0.535,19.82542377
Biscutella,Brassicaceae,Brassicales,0.0,0.0,0.871794872,0.020378457,0.00485306,0.0,1.0,1.0,1.0,4.0,0.456936364,1.29,49.33303125
Bistorta,Polygonaceae,Caryophyllales,0.0,0.0,1.0,0.0,0.002727273,0.0,1.0,0.803921569,0.779761905,2.64,0.8,2.17925,59.83677065
Blechnum,Blechnaceae,Monilophyta,0.0,0.0,1.0,0.0,0.0,0.017857143,1.0,1.0,1.0,2.25,0.6471375,2.25,60.63309118
Blennosperma,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Blephilia,Lamiaceae,Lamiales,0.0,0.0,1.0,0.0,0.004320557,0.918604651,1.0,0.666666667,0.998407643,2.01,0.6708,1.197755102,82.29557184
Bloomeria,Asparagaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.02173913,1.0,0.517857143,1.0,2.09,0.735,11.2481106,82.85160697
Blumea,Asteraceae,Asterales,0.0,0.0,0.700456079,0.0,0.00210989,0.0,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Blysmus,Cyperaceae,Poales,0.0,0.0,1.0,0.0,0.00045977,0.45,1.0,0.5,0.0,2.53,0.13225,1.062465753,144.9035847
Bobea,Rubiaceae,Gentianales,16.66666667,0.25,1.0,1.0,0.0006,0.00877193,1.0,0.714285714,1.0,2.5,0.7185,0.986904762,55.33852992
Boechera,Brassicaceae,Brassicales,0.534759358,0.088235294,0.847222222,0.0,0.00485306,0.0,0.996621622,0.882352941,0.994444444,2.63,0.456936364,0.24,0.0
Boerhavia,Nyctaginaceae,Caryophyllales,0.0,0.0,0.461538462,0.0,0.005063291,0.0,1.0,0.75,1.0,1.93,0.6471375,4.475517241,28.32153972
Bolanthus,Caryophyllaceae,Caryophyllales,0.0,0.0,1.0,0.0,0.001818182,0.0,1.0,0.87295082,0.981884058,2.63,0.592428667,1.703217391,61.43192451
Bombycilaena,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.017857143,0.826621924,0.68329718,1.0,2.09,0.6471375,4.064583333,74.38814924
Borago,Boraginaceae,Boraginales,0.0,0.0,0.5,0.0,0.001824818,0.166666667,1.0,1.0,1.0,1.94,0.915,1.75,65.04411735
Borderea,Dioscoreaceae,Dioscoreales,0.0,0.0,1.0,0.0,0.009195402,0.222222222,1.0,1.0,1.0,1.7,0.86,1.042758621,110.6995408
Bornmuellera,Brassicaceae,Brassicales,0.0,0.0,1.0,0.0,0.00485306,0.0,0.996621622,0.882352941,0.994444444,2.63,0.456936364,1.09,83.97051654
Boronia,Rutaceae,Sapindales,0.0,0.0,1.0,1.0,0.001652893,0.0,1.0,0.75,1.0,2.52,0.6471375,1.064262295,133.5968451
Boschniakia,Orobanchaceae,Lamiales,0.0,0.0,1.0,0.0,0.0,0.72,1.0,0.958333333,1.0,1.14,0.7155,3.468225806,49.13924668
Bossiaea,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,0.735191638,1.0,0.916129032,0.999645641,2.1,0.626545455,2.9788,100.1112562
Bothriochloa,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,0.967741935,0.0,0.5,0.0,3.0,0.360925926,5.530870827,74.38153976
Botrychium,Ophioglossaceae,Monilophyta,0.0,0.0,1.0,0.0,0.0,0.017857143,1.0,1.0,1.0,2.09,0.6471375,8.306666667,39.54803008
Bouteloua,Poaceae,Poales,0.284900285,0.037037037,0.796296296,0.0,0.074314214,0.967741935,0.958333333,0.724806202,0.093533487,1.73,0.360925926,5.530870827,74.38153976
Boykinia,Saxifragaceae,Saxifragales,0.0,0.0,1.0,0.0,0.0,0.017857143,1.0,0.625,1.0,2.09,0.6471375,1.406666667,0.0
